Num_Acc,an,mois,jour,heure,dep,com,agg,int,lum,atm,catr,circ,plan,surf,situ,sexe,age,trajet,typevehicule1,typevehicule2,typevehicule3,equipement1,equipement2,equipement3,equipement_bool,grav_num
200500002336,2005,1,3,18,013,13001,2,1,5,1.0,4,3.0,1.0,1.0,1.0,1.0,17.0,9.0,7.0,,,2.0,,,True,1
200500002348,2005,1,5,12,013,13001,2,1,1,1.0,4,4.0,1.0,1.0,1.0,1.0,33.0,4.0,7.0,,,2.0,,,True,1
200500002348,2005,1,5,12,013,13001,2,1,1,1.0,4,4.0,1.0,1.0,1.0,1.0,20.0,4.0,7.0,,,2.0,,,True,2
200500002359,2005,1,1,11,013,13005,2,1,1,1.0,3,2.0,1.0,1.0,1.0,1.0,83.0,5.0,7.0,,,9.0,,,True,2
200500002439,2005,1,1,16,013,13055,2,1,1,1.0,4,1.0,1.0,2.0,1.0,1.0,14.0,5.0,7.0,,,2.0,,,True,2
200500002450,2005,1,5,17,013,13055,2,1,2,1.0,4,2.0,1.0,1.0,1.0,1.0,15.0,5.0,7.0,,,9.0,,,True,2
200500002622,2005,1,3,13,013,13039,2,1,1,1.0,4,2.0,2.0,1.0,1.0,1.0,16.0,2.0,10.0,,,2.0,,,True,2
200500002647,2005,1,2,15,014,14118,2,1,1,1.0,4,2.0,1.0,1.0,1.0,2.0,45.0,9.0,7.0,,,4.0,,,True,1
200500002670,2005,1,3,18,014,14333,2,9,5,1.0,4,3.0,1.0,1.0,1.0,1.0,28.0,3.0,2.0,,,9.0,,,True,2
200500002686,2005,1,2,17,017,17299,2,6,5,2.0,4,2.0,1.0,2.0,1.0,1.0,52.0,1.0,7.0,,,9.0,,,True,2
200500002691,2005,1,4,17,017,17300,2,1,5,1.0,4,1.0,1.0,2.0,1.0,1.0,31.0,1.0,2.0,,,9.0,,,True,1
200500002696,2005,1,1,18,017,17300,2,1,5,1.0,4,1.0,1.0,1.0,1.0,2.0,21.0,2.0,4.0,,,9.0,,,True,1
200500002725,2005,1,1,10,017,17415,2,6,1,7.0,2,4.0,1.0,1.0,1.0,1.0,57.0,5.0,10.0,,,4.0,,,True,1
200500002774,2005,1,3,16,021,21231,2,2,5,1.0,4,3.0,1.0,2.0,1.0,1.0,42.0,1.0,7.0,,,9.0,,,True,1
200500002786,2005,1,5,14,021,21231,2,6,1,1.0,2,1.0,2.0,1.0,1.0,1.0,46.0,5.0,7.0,,,9.0,,,True,1
200500002793,2005,1,1,19,021,21231,2,2,5,1.0,4,2.0,1.0,1.0,1.0,1.0,28.0,4.0,7.0,,,2.0,,,True,2
200500002800,2005,1,6,10,021,21231,2,2,1,1.0,4,2.0,1.0,2.0,1.0,1.0,34.0,4.0,7.0,,,9.0,,,True,1
200500002819,2005,1,2,12,024,24322,2,3,1,1.0,3,2.0,3.0,1.0,1.0,1.0,68.0,3.0,7.0,,,9.0,,,True,2
200500002848,2005,1,5,20,025,25539,2,6,5,1.0,3,2.0,1.0,1.0,1.0,1.0,18.0,5.0,7.0,,,9.0,,,True,2
200500002849,2005,1,6,10,025,25388,2,1,1,1.0,3,2.0,1.0,7.0,1.0,1.0,49.0,5.0,7.0,,,2.0,,,True,1
200500002876,2005,1,6,18,026,26281,2,6,5,1.0,4,2.0,1.0,1.0,1.0,1.0,14.0,5.0,7.0,,,2.0,,,True,1
200500002880,2005,1,3,12,026,26281,2,1,1,8.0,4,2.0,1.0,1.0,1.0,1.0,17.0,2.0,7.0,,,2.0,,,True,1
200500002886,2005,1,1,15,026,26362,2,6,1,1.0,4,2.0,1.0,1.0,1.0,2.0,76.0,5.0,7.0,,,9.0,,,True,2
200500002890,2005,1,1,17,026,26362,2,6,5,2.0,2,1.0,2.0,2.0,1.0,1.0,22.0,1.0,7.0,,,4.0,,,True,2
200500002898,2005,1,1,18,026,26362,2,1,5,1.0,4,2.0,1.0,1.0,1.0,1.0,44.0,1.0,7.0,,,4.0,,,True,2
200500002951,2005,1,2,18,029,29019,2,3,5,2.0,9,2.0,1.0,2.0,1.0,1.0,28.0,9.0,7.0,,,9.0,,,True,1
200500002987,2005,1,4,18,029,29151,2,6,5,1.0,4,1.0,1.0,2.0,1.0,1.0,24.0,5.0,7.0,,,9.0,,,True,1
200500003035,2005,1,4,12,031,31069,2,2,2,2.0,4,2.0,1.0,2.0,1.0,1.0,70.0,9.0,7.0,,,4.0,,,True,2
200500003041,2005,1,6,15,031,31555,2,1,5,1.0,4,1.0,1.0,1.0,1.0,1.0,55.0,5.0,7.0,,,2.0,,,True,2
200500003045,2005,1,1,15,031,31555,2,3,1,1.0,4,2.0,1.0,1.0,1.0,1.0,15.0,2.0,7.0,,,2.0,,,True,1
